DATA_ACCETTAZIONE;SEDE;TIPO_PS;NUMERO_ACCESSI
14/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;21
14/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;15
14/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;6
14/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;17
14/01/2021;Distretto Magenta;MEDICINA MAGENTA;29
14/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;12
14/01/2021;Distretto Magenta;GESSI (ORTOPEDIA);1
14/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;9
15/01/2021;Distretto Cuggiono;SALA CUGGIONO;20
15/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;10
15/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;6
15/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;19
15/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;7
15/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;23
15/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
15/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;4
15/01/2021;Distretto di Legnano;OCULISTICA;4
15/01/2021;Distretto di Legnano;MEDICINA LEGNANO;48
15/01/2021;Distretto di Legnano;OBI PEDIATRICA LEGNANO;2
15/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;21
15/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;6
15/01/2021;Distretto Magenta;MEDICINA MAGENTA;22
15/01/2021;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
15/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;8
15/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;8
15/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;28
15/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;16
15/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;10
15/01/2021;Distretto Magenta;GESSI (ORTOPEDIA);2
16/01/2021;Distretto Cuggiono;SALA CUGGIONO;11
16/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;7
16/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;5
